Date/Time,Raw Count,Amount (in),Accumulated (in),id
384
 12-24-2016 02:15 AM, 70,  0.04,  2.76,384
 12-24-2016 02:10 AM, 69,  0.04,  2.72,384
 12-24-2016 02:06 AM, 68,  0.04,  2.68,384
 12-24-2016 02:02 AM, 67,  0.04,  2.64,384
 12-24-2016 01:56 AM, 66,  0.04,  2.60,384
 12-24-2016 01:41 AM, 65,  0.04,  2.56,384
 12-24-2016 01:31 AM, 64,  0.04,  2.52,384
 12-24-2016 12:57 AM, 63,  0.04,  2.48,384
 12-23-2016 11:24 PM, 62,  0.00,  2.44,384
 12-23-2016 10:56 PM, 62,  0.04,  2.44,384
 12-23-2016 10:50 PM, 61,  0.04,  2.40,384
 12-23-2016 10:44 PM, 60,  0.04,  2.36,384
 12-23-2016 10:39 PM, 59,  0.04,  2.32,384
 12-23-2016 10:34 PM, 58,  0.04,  2.28,384
 12-23-2016 10:28 PM, 57,  0.04,  2.24,384
 12-23-2016 10:20 PM, 56,  0.04,  2.20,384
 12-23-2016 10:09 PM, 55,  0.04,  2.17,384
 12-23-2016 10:03 PM, 54,  0.04,  2.13,384
 12-23-2016 10:00 PM, 53,  0.04,  2.09,384
 12-23-2016 09:54 PM, 52,  0.04,  2.05,384
 12-23-2016 09:40 PM, 51,  0.04,  2.01,384
 12-23-2016 09:08 PM, 50,  0.04,  1.97,384
 12-23-2016 08:50 PM, 49,  0.04,  1.93,384
 12-23-2016 08:23 PM, 48,  0.04,  1.89,384
 12-23-2016 08:12 PM, 47,  0.04,  1.85,384
 12-23-2016 08:00 PM, 46,  0.08,  1.81,384
 12-23-2016 07:32 PM, 44,  0.04,  1.73,384
 12-23-2016 06:57 PM, 43,  0.04,  1.69,384
 12-23-2016 05:31 PM, 42,  0.04,  1.65,384
 12-23-2016 11:24 AM, 41,  0.00,  1.61,384
 12-22-2016 11:24 PM, 41,  0.00,  1.61,384
 12-22-2016 11:24 AM, 41,  0.00,  1.61,384
 12-22-2016 09:06 AM, 41,  0.04,  1.61,384
 12-22-2016 07:01 AM, 40,  0.04,  1.57,384
 12-22-2016 05:31 AM, 39,  0.04,  1.54,384
 12-22-2016 02:39 AM, 38,  0.04,  1.50,384
 12-22-2016 02:22 AM, 37,  0.04,  1.46,384
 12-22-2016 02:11 AM, 36,  0.04,  1.42,384
 12-22-2016 02:02 AM, 35,  0.04,  1.38,384
 12-22-2016 01:50 AM, 34,  0.04,  1.34,384
 12-22-2016 12:56 AM, 33,  0.04,  1.30,384
